main dir;sub dir;assembly name;install on GAC;web app;is an exe;license;is a doc project;is a Release;is unit test;project guid
OGen-Kick; src\Kick-businesslayer; OGen.NTier.Kick.Libraries.BusinessLayer; t; f; f; MIT; f; t; f; 82A42F01-E060-43BA-8580-3AA3B55B8835
OGen-Kick; src\Kick-businesslayer-instances; OGen.NTier.Kick.Libraries.BusinessLayer.Shared.Instances; t; f; f; MIT; f; t; f; 739B6C77-728E-47D5-9035-E366CF056CCC
OGen-Kick; src\Kick-businesslayer-instances; OGen.NTier.Kick.Libraries.BusinessLayer.Shared.Instances.BusinessObject; t; f; f; MIT; f; t; f; 0872F13E-F31D-4E15-BCDF-2AC7449D6B29
OGen-Kick; src\Kick-businesslayer-instances; OGen.NTier.Kick.Libraries.BusinessLayer.Shared.Instances.RemotingClient; t; f; f; MIT; f; t; f; 3199D08A-E34B-4276-A685-0E4E0B8404EB
OGen-Kick; src\Kick-businesslayer-instances; OGen.NTier.Kick.Libraries.BusinessLayer.Shared.Instances.WebServicesClient; t; f; f; MIT; f; t; f; E2282206-F42F-4302-AABA-70C15CF875F7
OGen-Kick; src\Kick-businesslayer-shared; OGen.NTier.Kick.Libraries.BusinessLayer.Shared; t; f; f; MIT; f; t; f; 13DD2252-A8D0-4672-86E4-67AFB821F03D
OGen-Kick; src\Kick-businesslayer-structures; OGen.NTier.Kick.Libraries.BusinessLayer.Shared.Structures; t; f; f; MIT; f; t; f; C25672B4-7EB7-485C-8486-DB71206ED6B3
OGen-Kick; src\Kick-datalayer; OGen.NTier.Kick.Libraries.DataLayer; t; f; f; MIT; f; t; f; 4072BCFE-FD4C-49C2-AA7B-0B63C97795F7
OGen-Kick; src\Kick-datalayer-structures; OGen.NTier.Kick.Libraries.DataLayer.Shared.Structures; t; f; f; MIT; f; t; f; 11DBCAAE-7838-4204-B8BE-53B96864D928
OGen-Kick; src\Kick-remoting-client; OGen.NTier.Kick.Libraries.DistributedLayer.Remoting.Client; t; f; f; MIT; f; t; f; 16AA0F44-C31C-4FA2-B461-A74946CD3224
OGen-Kick; src\Kick-remoting-server; OGen.NTier.Kick.Libraries.DistributedLayer.Remoting.Server; t; f; f; MIT; f; t; f; 5DBF8339-8FB9-4040-BB96-B770EF093BA1
OGen-Kick; src\Kick-remoting-simpleserver; OGen.NTier.Kick.DistributedLayer.Remoting.SimpleServer; f; f; t; MIT; f; f; f; 6720D906-E3C5-446A-A255-1F9D67F5A085
OGen-Kick; src\Kick--test; OGen.NTier.Kick.PresentationLayer.ConsoleApplication; f; f; t; MIT; f; f; f; 5D0280A7-2A09-422F-87BA-683ACE9AA187
OGen-Kick; src\Kick-web; OGen.NTier.Kick.PresentationLayer.WebLayer; f; t; f; MIT; f; f; f; 0B35936C-5B19-4A87-B9BF-1E59879CED6B
OGen-Kick; src\Kick-weblayer; OGen.NTier.Kick.Libraries.PresentationLayer.WebLayer; t; f; f; MIT; f; t; f; F631FEFC-77DF-4F4C-BBE2-F9474A6690F2
OGen-Kick; src\Kick-webservices-client; OGen.NTier.Kick.Libraries.DistributedLayer.WebServices.Client; t; f; f; MIT; f; t; f; 255CFEA8-71C6-45DE-82AB-1C99A91194A5
OGen-Kick; src\Kick-webservices-server; OGen.NTier.Kick.DistributedLayer.WebServices.Server; f; t; f; MIT; f; f; f; 08F3001E-7C45-4A78-A295-48684AC9323E
OGen-NTier_UTs; OGen-NTier_UTs_businesslayer; OGen.NTier.UTs.lib.businesslayer; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_businesslayer_proxy; OGen.NTier.UTs.lib.businesslayer.proxy; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_businesslayer_UTs; OGen.NTier.UTs.lib.businesslayer.UTs; f; f; f; MIT; f; f; t;
OGen-NTier_UTs; OGen-NTier_UTs_datalayer; OGen.NTier.UTs.lib.datalayer; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_datalayer_proxy; OGen.NTier.UTs.lib.datalayer.proxy; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_datalayer_UTs; OGen.NTier.UTs.lib.datalayer.UTs; f; f; f; MIT; f; f; t;
OGen-NTier_UTs; OGen-NTier_UTs_test; OGen.NTier.UTs.test; f; f; t; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs-PostgreSQL; OGen-NTier_UTs-PostgreSQL; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs-SQLServer; OGen-NTier_UTs-SQLServer; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-metadatas; OGen-metadatas; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs-Doc; OGen-NTier_UTs-Doc; f; f; f; GNU_FDL; t; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_webservices_server; OGen.NTier.UTs.distributedlayer.webservices.server; f; t; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_webservices_client; OGen.NTier.UTs.lib.distributedlayer.webservices.client; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_remoting_server; OGen.NTier.UTs.distributedlayer.remoting.server; f; f; t; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_remoting_client; OGen.NTier.UTs.lib.distributedlayer.remoting.client; f; f; f; MIT; f; f; f;
OGen-NTier_UTs; OGen-NTier_UTs_business_client; OGen.NTier.UTs.lib.business.client; f; f; f; MIT; f; f; f;
OGen-Dia; Dia_generator; OGen.Dia.Libraries.Generator; t; f; f; MIT; f; t; f; BE3E31C9-69AA-4F21-B945-225E78D62D03
OGen-Dia; Dia_metadata; OGen.Dia.Libraries.Metadata; t; f; f; MIT; f; t; f; 8D5C03A2-FA8C-40C3-BF9A-B12ABBC3E158
OGen-Dia; Dia_templates; OGen.Dia.Libraries.Templates; f; t; f; MIT; f; t; f; C6ED2E91-EE27-4F91-A0DC-A36A0C2EE58E
OGen-Dia; Dia-console; OGen.Dia.PresentationLayer.ConsoleApplication; f; f; t; MIT; f; t; f; AE492C5A-D818-4038-8AC8-543874359670
OGen-Dia; Dia-test; OGen.Dia.PresentationLayer.Test; f; f; t; MIT; f; f; f; 175AC1D5-6F73-407E-BC03-1AC3D0589409
OGen-Doc; Doc_generator; OGen.Doc.Libraries.Generator; t; f; f; MIT; f; t; f; 0D8CBBD6-841B-4A03-9733-8AFE3B4D5C86
OGen-Doc; Doc_metadata; OGen.Doc.Libraries.Metadata; t; f; f; MIT; f; t; f; 9DF6791A-1771-4EB6-8FEB-7F54AC2D9078
OGen-Doc; Doc_templates; OGen.Doc.Libraries.Templates; f; t; f; MIT; f; t; f; 82FA3D98-C5E7-42EC-A117-21C14D117EFD
OGen-Doc; Doc; OGen.Doc.PresentationLayer.WinForms; f; f; t; MIT; f; f; f; 12E87F31-F752-447D-92BC-8B3D6CD8845A
OGen-Doc; Doc-console; OGen.Doc.PresentationLayer.ConsoleApplication; f; f; t; MIT; f; t; f; D4BA7561-1BEB-403C-933C-AE740D4889BE
OGen-Doc; Doc-test; OGen.Doc.PresentationLayer.Test; f; f; t; MIT; f; f; f; D3537355-C003-41A9-8B12-ED4F3D67B99B
OGen-XSD; XSD_generator; OGen.XSD.Libraries.Generator; t; f; f; MIT; f; t; f; 8FBFD76E-FD3D-415C-B046-EFC947BE4259
OGen-XSD; XSD_metadata; OGen.XSD.Libraries.Metadata; t; f; f; MIT; f; t; f; 4DF3D49D-AE3E-47F9-A33F-EB335D7B418E
OGen-XSD; XSD_templates; OGen.XSD.Libraries.Templates; f; t; f; MIT; f; t; f; 327AF732-DFFD-488F-85C7-92B23D03BD34
OGen-XSD; XSD-console; OGen.XSD.PresentationLayer.ConsoleApplication; f; f; t; MIT; f; t; f; B716D6F2-D45A-49A0-BEFA-D5A206303304
OGen-XSD; XSD-Test; OGen.XSD.PresentationLayer.Test; f; f; t; MIT; f; f; f; E91AFBB5-F6BE-47D1-90B1-811EEB9D42DC
OGen-SpreadsheetXML; SpreadsheetXML_metadata; OGen.SpreadsheetXML.Libraries.Metadata; t; f; f; MIT; f; t; f; 4F32A87A-8C41-4FEA-B683-4E6310E04CCF
OGen-SpreadsheetXML; SpreadsheetXML-Console; OGen.SpreadsheetXML.PresentationLayer.ConsoleApplication; f; f; t; MIT; f; t; f; 0B245CBE-7DF0-424A-A7A7-6BD904262F11
